Type,Element,Rarity,Tier,LuckValue,Luck,Description,Color,Notes
Skill,46. Krav Maga,2.60,Uncommon,21.87,21.87%,"You are an apprentice of Krav Maga, a brutally efficient martial art made for military use, it emphasizes instinctive movements, rapid strikes, and efficient takedowns to neutralize threats as quickly as possible. Krav Maga incorporates techniques from boxing, wrestling, judo, and street fighting. With sufficient mastery, you can enhance your strikes with your internal energy",#aed1d1,
Familiar,184.Nick Valentine,2.50,Uncommon,25.0,25.00%,"Fallout 4 - Nick is a synthetic human detective. As a Synth, he is slightly stronger than the average man but possesses great accuracy with guns and is highly skilled at interfacing with technology. As expected by a detective, Nick is good at reading people, and investigations and giving advice from his years as a detective in a post-apocalyptic wasteland.",#aed1d1,
Familiar,192.Dogmeat,1.70,Common,50.0,50.00%,Fallout - Man's most dedicated companion. Dog Meat is a very capable and well-trained German Shepherd who is... seemingly immortal. He can track scents and has considerable intelligence for his species.,#9c7e5a,
Familiar,83. Shark,0.40,Trash,90.62,90.62%,"A regular old shark, only useful in water but it is a pretty healthy and strong shark with above average intelligence.",#a39589,
Familiar,★ 37. Thunderbird,4.40,Elite,0.1,0.10%,"Hota - A thunderbird of legend, existing as the counterpart to the mythical Pheonix. It is capable of moving extremely quickly and controlling the weather, summoning rain and thunder down at will as well as being able to release it itself. She is a female and is capable of laying eggs, do not ask who the father is.",#1172d9,
Familiar,63. Cat,0.20,Trash,96.88,96.88%,"Any cat of your liking, once you summon the familiar for the first time, they take on the form of a small feline that is compatible with you. The default is an orange cat with very soft fur.",#a39589,
Familiar,5. A rat,0.10,Trash,100.0,100.00%,An ordinary rat picked up from the New York subway system.,#a39589,
Familiar,83. Shark,0.40,Trash,90.62,90.62%,"A regular old shark, only useful in water but it is a pretty healthy and strong shark with above average intelligence.",#a39589,🔁 Repeated — +1 TP
Familiar,82. Clothes Melting Slime,1.80,Common,46.88,46.88%,"A grey amorphous ever-shifting slime that is capable of quickly melting all clothing, strangely enough, it doesn't seem to melt common clothes materials but instead, its acid seems to just conceptually melt anything classified as clothing. The more clothing it melts, the larger and stronger this slime gets.",#9c7e5a,
Familiar,11. Moonless,1.70,Common,50.0,50.00%,"Fear and Hunger - A normal cave wolf that was transformed by the influence of the god of the depths, after tens of years of brutal survival this wolf towers over even tanks and can swallow a fully grown man in one gulp.",#9c7e5a,
Familiar,182. Wooloo,1.50,Common,56.25,56.25%,"Pokemon - Wooloo is the sheep Pokemon, which means it is a supernaturally cute and strong sheep with super luxurious wool that grows back entirely within 5 days compared to the average Wooloo. Despite being a powerful beast it has no combat instincts or skill so don't expect combat from it.",#9c7e5a,
Item,155. Doyens Virility Pills,1.40,Common,59.38,59.38%,"Hunter x Hunter - A vial of 100 pills that give you endurance and fertility in bed, taking more than one at a time may have unintended effects. Restock Timer: 168 Hours",#9c7e5a,
Item,129. Super Crown - Mario,2.30,Uncommon,31.25,31.25%,A magical crown that turns whoever wears it into a pretty girl.,#aed1d1,🔁 Repeated — +1 TP
Item,104. Cleaning Stone,1.20,Common,65.62,65.62%,DnD - A small blue bead that slowly cleans and removes filth from everything within a 10-meter radius of it.,#9c7e5a,
Item,122. Cruise Ship,3.00,Rare,9.38,9.38%,"A large luxury cruise ship that is 350 meters long and 80 meters wide, the cruise ship is manned by automatons that cannot perform any duty other than the ones they are assigned to in the ship. In addition, this ship has infinite fuel in its engine.",#11d939,
Item,447.ColorS,1.20,Common,65.62,65.62%,Fairy Tail - A small book-like magic item that allows the holder to change the color scheme of their clothing by sliding their finger over its surface.,#9c7e5a,🔁 Repeated — +1 TP
Item,105. All-purpose tool,0.90,Trash,75.0,75.00%,"DnD - A screwdriver that shapes itself into any mundane tool such as hammers, knives, chisels, etc.",#a39589,
Item,444.Five Hundred Cigarettes,0.50,Trash,87.5,87.50%,500 non brand name generic ciggaretes. Useful for taking the edge off.,#a39589,
Item,447.ColorS,1.20,Common,65.62,65.62%,Fairy Tail - A small book-like magic item that allows the holder to change the color scheme of their clothing by sliding their finger over its surface.,#9c7e5a,🔁 Repeated — +1 TP
Item,99. Energy Drink,2.60,Uncommon,21.87,21.87%,"A can of drink that contains 330ml of green juice inside, drinking all of the liquid recovers your energy/mana by 30%, drinking more than 3 cans a day will instantly cause a stroke and a heart attack. Restock Timer: 24 Hours",#aed1d1,
Item,124. Pocket Armory,2.20,Uncommon,34.37,34.37%,"A large grey duffel bag containing a copy of every cold weapon made from high-quality steel, you can take any one weapon out at a time from this bag, if you put the weapon back, the next time you take it out, it will be back in perfect condition.",#aed1d1,
Familiar,161.Doppel,2.90,Uncommon,12.5,12.50%,"Monster Musume - Doppel is a female(?) doppelganger with military and police training. As a doppelganger, she is capable of turning her body into that of any living creature and clothes she has seen but does not affect her stats as she is not much stronger than a baseline human.",#aed1d1,
Familiar,64. Lion,1.20,Common,65.62,65.62%,"A majestic lion companion, as a familiar they are a lion who has excellent genetics and near human intellect, and they are also large enough to ride. By default they are female.",#9c7e5a,
Familiar,71. Wyvern,2.30,Uncommon,31.25,31.25%,"A large sky-dwelling reptile with fire breath, they are often referred to as lesser dragons, a wyvern can easily swallow a man whole and roast an entire battalion with its fire breath. This Wyvern is female and can produce eggs to reproduce.",#aed1d1,
Familiar,75. Crow,0.80,Trash,78.12,78.12%,"A very smart and loyal crow companion with intelligence on the level of a human, she can spy on people and relay the information to her master.",#a39589,
Familiar,11. Moonless,1.70,Common,50.0,50.00%,"Fear and Hunger - A normal cave wolf that was transformed by the influence of the god of the depths, after tens of years of brutal survival this wolf towers over even tanks and can swallow a fully grown man in one gulp.",#9c7e5a,🔁 Repeated — +1 TP
Familiar,84. Schrodinger's cat,1.70,Common,50.0,50.00%,"A regular-looking cat, but in reality it is the Schrodinger's cat, being able to teleport freely as long as it is not being observed and being immortal as it comes back to whenever its corpse is not observed.",#9c7e5a,
Familiar,53. Sacabambaspis,0.10,Trash,100.0,100.00%,A stupid-looking ancient fish with no jaw and a permanent stupid-looking grin. It's also shaped like a stupid doorstop.,#a39589,
Familiar,64. Lion,1.20,Common,65.62,65.62%,"A majestic lion companion, as a familiar they are a lion who has excellent genetics and near human intellect, and they are also large enough to ride. By default they are female.",#9c7e5a,🔁 Repeated — +1 TP
Familiar,28. Capra Demons,2.20,Uncommon,34.37,34.37%,"Dark Souls - A Capra Demon formed from Chaos, these demons are far larger and stronger than average humans and possess resistance to fire and unholy abilities. Depending on the amount of energy expended multiple Capra's can be summoned at once.",#aed1d1,
Familiar,75. Crow,0.80,Trash,78.12,78.12%,"A very smart and loyal crow companion with intelligence on the level of a human, she can spy on people and relay the information to her master.",#a39589,🔁 Repeated — +1 TP
Ability,735. More Eyes,1.00,Common,71.88,71.88%,You can manifest eyes anywhere on your body. You will not be disorientated by the multiple instances of vision you manifest.,#9c7e5a,
Ability,472.Super Jump,1.80,Common,46.88,46.88%,Allows you to jump great distances you would otherwise be unable to. Even a regular person would be able to leap over a building with this. And you are also immune to falling damage as a bonus.,#9c7e5a,
Ability,459.Stick,1.20,Common,65.62,65.62%,Allows you to stick to objects like super glue.,#9c7e5a,
Ability,219.Crystal Spikes,2.20,Uncommon,34.37,34.37%,Allows you to create durable but brittle crystal spikes that pop out of the ground or any surface you are in contact with to impale your opponents or serve as physical barriers.,#aed1d1,
Ability,285.Flash,1.20,Common,65.62,65.62%,"You can emit a bright blinding light from your hands or use it with less intensity for utility, does not work well outside of close range.",#9c7e5a,
Ability,771. Monarch's Indifference,3.00,Rare,9.38,9.38%,Authors PoV - Allows you to suppress your emotions completely and act with complete indifference to accomplish your goal. This also completely counters any mind manipulation or telepathy ability aimed toward you.,#11d939,
Ability,178. Stone Bullet,2.00,Uncommon,40.62,40.62%,"Conjure rocks and small stones and shoot them like bullets with lethal power, you are basically a living stone gun.",#aed1d1,
Ability,75. Dampen,0.80,Trash,78.12,78.12%,Allows you to dampen any object you are touching by making it more moist.,#a39589,🔁 Repeated — +1 TP
Ability,830. Measure King,1.30,Common,62.5,62.50%,"Measure once, cut twice. Allows you to know the exact dimensions and measurements of anything you come across just by taking a look at them.",#9c7e5a,
Ability,284.Flashlight,0.40,Trash,90.62,90.62%,"You can emit a beam of moderate-intensity light from your hands, a useful replacement for a flashlight but not useful for much else.",#a39589,
Familiar,192.Dogmeat,1.70,Common,50.0,50.00%,Fallout - Man's most dedicated companion. Dog Meat is a very capable and well-trained German Shepherd who is... seemingly immortal. He can track scents and has considerable intelligence for his species.,#9c7e5a,🔁 Repeated — +1 TP
Familiar,64. Lion,1.20,Common,65.62,65.62%,"A majestic lion companion, as a familiar they are a lion who has excellent genetics and near human intellect, and they are also large enough to ride. By default they are female.",#9c7e5a,🔁 Repeated — +1 TP
Familiar,83. Shark,0.40,Trash,90.62,90.62%,"A regular old shark, only useful in water but it is a pretty healthy and strong shark with above average intelligence.",#a39589,🔁 Repeated — +1 TP
Familiar,182. Wooloo,1.50,Common,56.25,56.25%,"Pokemon - Wooloo is the sheep Pokemon, which means it is a supernaturally cute and strong sheep with super luxurious wool that grows back entirely within 5 days compared to the average Wooloo. Despite being a powerful beast it has no combat instincts or skill so don't expect combat from it.",#9c7e5a,🔁 Repeated — +1 TP
Familiar,97. Divine Dogs,1.80,Common,46.88,46.88%,Jujutsu Kaisen - A pair of twin wolves capable of tearing apart targets with their claws and fangs. Each of the dogs can detect hostility and negative emotions and notify their master when they feel hostility directed toward them. Their tracking abilities allow them to find lost allies and locations as well. The power of shikigami with your own energy levels.,#9c7e5a,
Familiar,67. Brown Bear,1.00,Common,71.88,71.88%,"A regular big old brown bear companion, as a familiar they are a bear who has excellent genetics and near human intellect, they are strong enough to shrug off most small firearms and crush a human being like an apple. By default they are female.",#9c7e5a,
Familiar,84. Schrodinger's cat,1.70,Common,50.0,50.00%,"A regular-looking cat, but in reality it is the Schrodinger's cat, being able to teleport freely as long as it is not being observed and being immortal as it comes back to whenever its corpse is not observed.",#9c7e5a,🔁 Repeated — +1 TP
Familiar,182. Wooloo,1.50,Common,56.25,56.25%,"Pokemon - Wooloo is the sheep Pokemon, which means it is a supernaturally cute and strong sheep with super luxurious wool that grows back entirely within 5 days compared to the average Wooloo. Despite being a powerful beast it has no combat instincts or skill so don't expect combat from it.",#9c7e5a,🔁 Repeated — +1 TP
Familiar,18. Immortal Snail,1.00,Common,71.88,71.88%,"An immortal snail, who knows what it wants or how it came to be. But one thing is for sure, it is immortal, even if you eradicated every quark of its beings it would reform back to perfection in just a minute. It is biologically immortal too, immune to all sickness and ageing. But in the end, it is limited to the vessel of a snail.",#9c7e5a,
Familiar,70. Goblin,1.20,Common,65.62,65.62%,"Loathsome little green humanoid creatures the size of children, they are very vicious and cruel in nature, being able to use weapons and basic tactics. At least this goblin is smarter and more self-aware, they can also breed with any humanoid race. The default gender is female.",#9c7e5a,
Ability,53. Match,0.50,Trash,87.5,87.50%,"Allows you to light a small flame on your fingers, barely qualifies to be a lighter.",#a39589,
Ability,286.Illumination,1.70,Common,50.0,50.00%,"Allows you to conjure bright points of light that you can telekinetically control, you can also consume more energy to make the lights semi-permanent.",#9c7e5a,
Ability,555.Diagnosis,1.70,Common,50.0,50.00%,You can touch a target and receive a detailed diagnosis of their health condition,#9c7e5a,
Ability,55. Spray Water,1.20,Common,65.62,65.62%,Allows you to unleash a spray of water from your hands like a showerhead or a hose. Useful for putting out fires and dousing people.,#9c7e5a,
Ability,552.Mark,2.70,Uncommon,18.75,18.75%,"Allows you to mark targets by touching them, as long as the mark is active you are perfectly aware of how far and where a placed mark is.",#aed1d1,
Ability,790. Cosmetic Calibration,1.60,Common,53.12,53.12%,"Allows you to change anything about yourself that is purely cosmetic, like the color of your abilities, the color of your hair, the shape of your pupils, the color of your skin, etc.",#9c7e5a,
Ability,27. Heat Object,1.80,Common,46.88,46.88%,"Allows you to heat up any object by touching it, the more energy you expend the hotter and faster you can get the target object to heat up.",#9c7e5a,
Ability,461.Glide,1.40,Common,59.38,59.38%,"Allows you to glide 1cm above the ground and move like you are not affected by friction, allowing you to move around as if you are skating.",#9c7e5a,
Ability,130.Megaphone,1.40,Common,59.38,59.38%,"Allows you to amplify all noises you create, they can get so loud that they disorientate and temporarily deafen opponents.",#9c7e5a,
Ability,130.Megaphone,1.40,Common,59.38,59.38%,"Allows you to amplify all noises you create, they can get so loud that they disorientate and temporarily deafen opponents.",#9c7e5a,🔁 Repeated — +1 TP
Familiar,33. Aerodactyl,2.70,Uncommon,18.75,18.75%,"Pokemon - An ancient cross between a pterodactyl and a mountain, this giant lizard used to dominate the skies with its immense strength and geokinetic abilities.",#aed1d1,
Familiar,63. Cat,0.20,Trash,96.88,96.88%,"Any cat of your liking, once you summon the familiar for the first time, they take on the form of a small feline that is compatible with you. The default is an orange cat with very soft fur.",#a39589,🔁 Repeated — +1 TP
Familiar,62. Dog,0.10,Trash,100.0,100.00%,"Any dog of your liking, once you summon the familiar for the first time, they take on the form of a canine that is compatible with you. The default is a golden retreiver with very soft fur.",#a39589,
Familiar,184.Nick Valentine,2.50,Uncommon,25.0,25.00%,"Fallout 4 - Nick is a synthetic human detective. As a Synth, he is slightly stronger than the average man but possesses great accuracy with guns and is highly skilled at interfacing with technology. As expected by a detective, Nick is good at reading people, and investigations and giving advice from his years as a detective in a post-apocalyptic wasteland.",#aed1d1,🔁 Repeated — +1 TP
Familiar,6. Trash Eater,1.00,Common,71.88,71.88%,A grey 1-meter-tall slime that can consume and digest objects endlessly like an infinite trashcan and obey simple orders. It can only consume beings that aren't alive.,#9c7e5a,
Familiar,83. Shark,0.40,Trash,90.62,90.62%,"A regular old shark, only useful in water but it is a pretty healthy and strong shark with above average intelligence.",#a39589,🔁 Repeated — +1 TP
Familiar,191.Daisy,0.20,Trash,96.88,96.88%,"Doom - A cute, if not unremarkable brown pet rabbit named Daisy. Despite being the former pet rabbit of the Doom Slayer it is still just a regular brown rabbit.",#a39589,
Familiar,178.Darkbeast Paarl,2.40,Uncommon,28.12,28.12%,"Bloodborne - A dark beast that has reanimated itself from the dead. As a large skeletal monster, Paarl is strong enough to demolish walls and is immune to conventional weapons, even high-calibre bullets. In addition, Paarl can generate and release electricity from its body at will.",#aed1d1,
Familiar,16. Observer,2.40,Uncommon,28.12,28.12%,"A group of disembodied floating eyeballs that can transmit their sight to yours and follow complex commands, they possess no combat power and are as vulnerable as human eyeballs. If an eye gets perished, you can resummon it in 24 hours.",#aed1d1,
Familiar,63. Cat,0.20,Trash,96.88,96.88%,"Any cat of your liking, once you summon the familiar for the first time, they take on the form of a small feline that is compatible with you. The default is an orange cat with very soft fur.",#a39589,🔁 Repeated — +1 TP
Item,432.Threaded Cane,2.20,Uncommon,34.37,34.37%,"Bloodborne - One of the weapons of the workshop hunters used to face off against the beasts. In its cane form, the threaded cane still has a sharp edge enough to hurt beasts, but when its trick form is revealed the cane splits into numerous blades arranged into a whip that can be used to rend and shred flesh from a distance.",#aed1d1,
Item,272. Charismatic Sunglasses,1.30,Common,62.5,62.50%,A pair of really cool-looking sunglasses that make you seem more charismatic. Are the sunglasses charismatic because they look cool or do they look cool because they make you more charismatic?,#9c7e5a,🔁 Repeated — +1 TP
Item,18. A skeleton,0.10,Trash,100.0,100.00%,An ordinary human skeleton from a completely ordinary person,#a39589,🔁 Repeated — +1 TP
Item,327. Gold Ring Gift,1.00,Common,71.88,71.88%,Æ Gold Ring that you can give as a gift to a loved one. The patterns of the ring customize themselves according to whoever you give them to.  Restock Timer: 48 Hours,#9c7e5a,🔁 Repeated — +1 TP
Item,119. Perfect Decoy,1.60,Common,53.12,53.12%,"An exact replica of your body down to the most minute detail but damaging it reveals that even though it looks like you, it has no DNA or genetics, more like a flesh puppet made to look like you.",#9c7e5a,
Item,105. All-purpose tool,0.90,Trash,75.0,75.00%,"DnD - A screwdriver that shapes itself into any mundane tool such as hammers, knives, chisels, etc.",#a39589,🔁 Repeated — +1 TP
Item,208. Super Absorbant Sponge,1.40,Common,59.38,59.38%,"Terraria - A sponge that can hold approximately 1,000,000,000 liters of water inside of it, don't ask how it doesn't change in size or weight regardless of how much is inside of it.",#9c7e5a,🔁 Repeated — +1 TP
